Query,Recall,Precision
828.jpg,0.2,1
829.jpg,0.4,0.7
83.jpg,1,1
830.jpg,0.4,1
831.jpg,0.4,0.6
832.jpg,0.6,1
833.jpg,0.4,0.8
834.jpg,0.4,0.9
835.jpg,0.8,1
836.jpg,0.2,0.9
837.jpg,0.4,1
838.jpg,0.8,1
839.jpg,0.4,1
84.jpg,1,1
840.jpg,0.6,0.9
841.jpg,0.6,0.7
842.jpg,0.2,0.8
843.jpg,0.4,0.7
844.jpg,0.6,0.6
845.jpg,0.2,1
846.jpg,0.6,1
847.jpg,0.6,1
848.jpg,0.6,0.8
849.jpg,0.8,1
85.jpg,1,1
850.jpg,0.4,0.7
851.jpg,0.2,1
852.jpg,0.4,0.8
853.jpg,0.2,0.9
854.jpg,0.2,0.6
855.jpg,0.2,0.9
856.jpg,0.2,0.9
857.jpg,0.2,0.7
858.jpg,0.6,1
859.jpg,0.8,1
86.jpg,0.6,1
860.jpg,0.6,0.9
861.jpg,0.2,0.6
862.jpg,0.2,1
863.jpg,0.4,0.7
864.jpg,0.2,1
865.jpg,0.8,0.8
866.jpg,0.2,1
867.jpg,0.4,1
868.jpg,0.2,1
869.jpg,0.6,0.5
87.jpg,0.8,1
870.jpg,0.4,0.8
871.jpg,0.2,1
872.jpg,0.6,1
873.jpg,0.8,0.7
874.jpg,0.2,1
875.jpg,0.4,1
876.jpg,0.4,1
877.jpg,0.4,1
878.jpg,0.6,1
879.jpg,0.6,1
88.jpg,0.2,0.9
880.jpg,0.8,1
881.jpg,0.4,1
882.jpg,0.2,1
883.jpg,0.2,0.8
884.jpg,0.4,0.6
885.jpg,0.4,0.8
886.jpg,0.4,1
887.jpg,0.2,0.9
888.jpg,0.4,1
889.jpg,0.2,1
89.jpg,1,1
890.jpg,0.2,0.9
891.jpg,0.6,0.9
892.jpg,0.2,1
893.jpg,0.2,1
894.jpg,0.2,0.6
895.jpg,0.2,1
896.jpg,0.2,0.8
897.jpg,0.2,1
898.jpg,0.4,0.8
899.jpg,0.6,1
9.jpg,1,0.8
90.jpg,1,0.9
900.jpg,0.8,0.8
901.jpg,0.4,0.7
902.jpg,1,0.4
903.jpg,0.2,0.9
904.jpg,0.2,1
905.jpg,1,1
906.jpg,1,1
907.jpg,0.8,0.9
908.jpg,1,1
909.jpg,0.8,0.3
91.jpg,0.8,0.9
910.jpg,0.6,0.8
911.jpg,0.6,0.5
912.jpg,1,0.6
913.jpg,0.6,1
914.jpg,0.8,0.5
915.jpg,0.2,1
916.jpg,0.2,1
917.jpg,0.2,0.7
918.jpg,1,0.5
919.jpg,1,0.8
92.jpg,0.8,1
920.jpg,1,0.8
921.jpg,0.8,1
922.jpg,1,1
923.jpg,0.8,1
924.jpg,0.4,1
925.jpg,1,0.8
